Business_Name,Industry,Phone,Email,City,Zip
Kingman Commercial Construction,General Contractor,928-753-1120,contact@kingmanbuilding.com,"Kingman, AZ",86401
Mohave Roofing & Structural,Roofing Contractor,928-692-4450,estimates@mohaveroofing.com,"Kingman, AZ",86409
Route 66 Electrical Services,Electrical,928-718-2280,service@rt66electric.com,"Kingman, AZ",86401
Desert Valley Mechanical & AC,HVAC / Cooling,928-757-3310,admin@desertvalleyac.com,"Kingman, AZ",86409
Cerbat Plumbing Professionals,Plumbing Services,928-692-0041,dispatch@cerbatplumbing.com,"Kingman, AZ",86401
Havasu Custom Builders Inc,General Contractor,928-855-9921,info@havasubuilders.com,"Lake Havasu City, AZ",86403
Colorado River Roofing Systems,Roofing Contractor,928-453-7740,bids@coloradoriverroofing.com,"Lake Havasu City, AZ",86406
London Bridge Electric,Electrical,928-854-1190,team@londonbridgeelectric.com,"Lake Havasu City, AZ",86403
Havasu Air & Climate Control,HVAC / Cooling,928-453-2281,service@havasuair.com,"Lake Havasu City, AZ",86406
Nautical Plumbing & Rooter,Plumbing Services,928-855-0062,support@nauticalplumbing.com,"Lake Havasu City, AZ",86404
Tri-State Development Group,General Contractor,928-763-8841,projects@tristatedev.com,"Bullhead City, AZ",86442
Bullhead Roofing & Sheet Metal,Roofing Contractor,928-758-5510,office@bullheadroofing.com,"Bullhead City, AZ",86442
River Valley Power & Light,Electrical,928-768-3310,ops@rivervalleypower.com,"Fort Mohave, AZ",86426
Mohave Valley Cooling Dynamics,HVAC / Cooling,928-704-4491,climate@mohavecooling.com,"Bullhead City, AZ",86442
Laughlin View Plumbing LLC,Plumbing Services,928-758-0023,service@laughlinviewplumbing.com,"Bullhead City, AZ",86429
