entity_id,lea_booking_time,total_hours,severity
33,"2026-05-07 00:44:17",77.7,CRITICAL
55,"2026-05-07 04:49:12",73.6,CRITICAL
41,"2026-05-07 07:59:33",70.4,CRITICAL
32,"2026-05-07 11:30:01",66.9,CRITICAL
30,"2026-05-07 16:08:38",62.3,CRITICAL
19,"2026-05-07 16:47:52",61.6,CRITICAL
18,"2026-05-07 17:41:03",60.8,CRITICAL
26,"2026-05-07 18:32:24",59.9,CRITICAL
22,"2026-05-07 18:31:06",59.9,CRITICAL
54,"2026-05-07 18:32:47",59.9,CRITICAL
49,"2026-05-07 19:13:22",59.2,CRITICAL
25,"2026-05-07 19:49:45",58.6,CRITICAL
24,"2026-05-07 19:54:00",58.5,CRITICAL
47,"2026-05-07 22:34:48",55.9,CRITICAL
35,"2026-05-08 00:52:57",53.6,CRITICAL
43,"2026-05-08 03:55:45",50.5,CRITICAL
40,"2026-05-08 04:38:24",49.8,CRITICAL
57,"2026-05-08 04:48:24",49.6,CRITICAL
51,"2026-05-08 09:27:35",45.0,VIOLATION
36,"2026-05-08 10:07:40",44.3,VIOLATION
34,"2026-05-08 10:32:41",43.9,VIOLATION
37,"2026-05-08 11:04:57",43.4,VIOLATION
38,"2026-05-08 12:12:16",42.2,VIOLATION
60,"2026-05-08 14:27:09",40.0,VIOLATION
65,"2026-05-08 15:14:55",39.2,VIOLATION
42,"2026-05-08 15:58:19",38.5,VIOLATION
71,"2026-05-08 16:42:02",37.7,VIOLATION
44,"2026-05-09 03:22:33",27.1,VIOLATION
