entity_id,violation,actual_hours,excess_hours
33,Excessive Detention (Rule 4.1 Breach),77.7,29.700000000000003
55,Excessive Detention (Rule 4.1 Breach),73.6,25.599999999999994
41,Excessive Detention (Rule 4.1 Breach),70.4,22.400000000000006
32,Excessive Detention (Rule 4.1 Breach),66.9,18.900000000000006
30,Excessive Detention (Rule 4.1 Breach),62.3,14.299999999999997
19,Excessive Detention (Rule 4.1 Breach),61.6,13.600000000000001
18,Excessive Detention (Rule 4.1 Breach),60.8,12.799999999999997
26,Excessive Detention (Rule 4.1 Breach),59.9,11.899999999999999
22,Excessive Detention (Rule 4.1 Breach),59.9,11.899999999999999
54,Excessive Detention (Rule 4.1 Breach),59.9,11.899999999999999
49,Excessive Detention (Rule 4.1 Breach),59.2,11.200000000000003
25,Excessive Detention (Rule 4.1 Breach),58.6,10.600000000000001
24,Excessive Detention (Rule 4.1 Breach),58.5,10.5
47,Excessive Detention (Rule 4.1 Breach),55.9,7.899999999999999
35,Excessive Detention (Rule 4.1 Breach),53.6,5.600000000000001
43,Excessive Detention (Rule 4.1 Breach),50.5,2.5
40,Excessive Detention (Rule 4.1 Breach),49.8,1.7999999999999972
57,Excessive Detention (Rule 4.1 Breach),49.6,1.6000000000000014
