entity_id,lea_booking_time,total_hours,severity,damages
33,2026-05-07 00:44:17,77.7,CRITICAL,13425.0
55,2026-05-07 04:49:12,73.6,CRITICAL,12399.999999999998
41,2026-05-07 07:59:33,70.4,CRITICAL,11600.000000000002
32,2026-05-07 11:30:01,66.9,CRITICAL,10725.000000000002
30,2026-05-07 16:08:38,62.3,CRITICAL,9575.0
19,2026-05-07 16:47:52,61.6,CRITICAL,9400.0
18,2026-05-07 17:41:03,60.8,CRITICAL,9200.0
26,2026-05-07 18:32:24,59.9,CRITICAL,8975.0
22,2026-05-07 18:31:06,59.9,CRITICAL,8975.0
54,2026-05-07 18:32:47,59.9,CRITICAL,8975.0
49,2026-05-07 19:13:22,59.2,CRITICAL,8800.0
25,2026-05-07 19:49:45,58.6,CRITICAL,8650.0
24,2026-05-07 19:54:00,58.5,CRITICAL,8625.0
47,2026-05-07 22:34:48,55.9,CRITICAL,7975.0
35,2026-05-08 00:52:57,53.6,CRITICAL,7400.0
43,2026-05-08 03:55:45,50.5,CRITICAL,6625.0
40,2026-05-08 04:38:24,49.8,CRITICAL,6449.999999999999
57,2026-05-08 04:48:24,49.6,CRITICAL,6400.0
51,2026-05-08 09:27:35,45.0,VIOLATION,5250.0
36,2026-05-08 10:07:40,44.3,VIOLATION,5074.999999999999
34,2026-05-08 10:32:41,43.9,VIOLATION,4975.0
37,2026-05-08 11:04:57,43.4,VIOLATION,4850.0
38,2026-05-08 12:12:16,42.2,VIOLATION,4550.000000000001
60,2026-05-08 14:27:09,40.0,VIOLATION,4000.0
65,2026-05-08 15:14:55,39.2,VIOLATION,3800.000000000001
42,2026-05-08 15:58:19,38.5,VIOLATION,3625.0
71,2026-05-08 16:42:02,37.7,VIOLATION,3425.000000000001
44,2026-05-09 03:22:33,27.1,VIOLATION,775.0000000000003
